# id|catalogues|family|name|contract
# This is an independently authored coverage manifest. A record can be present
# in more than one source catalogue; aliases remain distinct only when their
# problem statement differs.
abstract-factory|GoF|creational|Abstract Factory|composition
builder|GoF|creational|Builder|composition
factory-method|GoF|creational|Factory Method|composition
prototype|GoF|creational|Prototype|composition
singleton|GoF|creational|Singleton|state
adapter|GoF|structural|Adapter|mapping
bridge|GoF|structural|Bridge|composition
composite|GoF|structural|Composite|composition
decorator|GoF|structural|Decorator|composition
facade|GoF|structural|Facade|boundary
flyweight|GoF|structural|Flyweight|state
proxy|GoF|structural|Proxy|boundary
chain-of-responsibility|GoF|behavioral|Chain of Responsibility|routing
command|GoF|behavioral|Command|messaging
interpreter|GoF|behavioral|Interpreter|mapping
iterator|GoF|behavioral|Iterator|state
mediator|GoF|behavioral|Mediator|messaging
memento|GoF|behavioral|Memento|state
observer|GoF|behavioral|Observer|messaging
state|GoF|behavioral|State|state
strategy|GoF|behavioral|Strategy|composition
template-method|GoF|behavioral|Template Method|composition
visitor|GoF|behavioral|Visitor|mapping
repository|PoEAA|enterprise|Repository|persistence
unit-of-work|PoEAA|enterprise|Unit of Work|persistence
specification|Supplemental|domain|Specification|mapping
cqrs|Microservices;Azure|distributed|CQRS|persistence
event-sourcing|Microservices;Azure|distributed|Event Sourcing|persistence
saga|Microservices;Azure|distributed|Saga|resilience
retry|Azure|resilience|Retry|resilience
circuit-breaker|Microservices;Azure|resilience|Circuit Breaker|resilience
cache-aside|Azure|resilience|Cache-Aside|persistence
transactional-outbox|Microservices|distributed|Transactional Outbox|messaging
idempotent-consumer|Microservices|messaging|Idempotent Consumer|messaging
pipes-and-filters|EIP;Azure|messaging|Pipes and Filters|composition
content-based-router|EIP|messaging|Content-Based Router|routing
dead-letter-channel|EIP|messaging|Dead Letter Channel|messaging
health-check|Supplemental|operations|Health Check|observability
transaction-script|PoEAA|enterprise|Transaction Script|boundary
domain-model|PoEAA|enterprise|Domain Model|composition
table-module|PoEAA|enterprise|Table Module|boundary
service-layer|PoEAA|enterprise|Service Layer|boundary
